timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779802144395,362,Get Token,200,OK,CreateIndividual 3-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,344,0,294
1779802144069,687,Get Token,200,OK,UpdateJoint 12-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,677,0,632
1779802144068,713,Get Token,200,OK,CreateIndividual 3-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,713,0,651
1779802144069,688,Get Token,200,OK,UpdateJuristic 8-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,688,0,646
1779802144068,703,Get Token,200,OK,SearchJoint 10-2,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,703,0,620
1779802144068,691,Get Token,200,OK,UpdateIndividual 4-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,691,0,651
1779802144068,688,Get Token,200,OK,CreateJuristic 7-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,674,0,620
1779802144182,601,Get Token,200,OK,CreateJoint 11-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,601,0,510
1779802144068,689,Get Token,200,OK,SearchIndividual 2-2,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,670,0,625
1779802144511,269,Get Token,200,OK,CreateJuristic 7-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,269,0,180
1779802144718,74,Get Token,200,OK,GetIndividual 1-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,74,0,38
1779802144068,689,Get Token,200,OK,SearchJuristic 6-2,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,668,0,617
1779802144210,561,Get Token,200,OK,SearchIndividual 2-3,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,561,0,476
1779802144068,688,Get Token,200,OK,UpdateJoint 12-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,676,0,620
1779802144514,244,Get Token,200,OK,UpdateIndividual 4-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,244,0,202
1779802144068,688,Get Token,200,OK,GetIndividual 1-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,671,0,625
1779802144069,706,Get Token,200,OK,GetJoint 9-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,706,0,621
1779802144068,692,Get Token,200,OK,CreateJoint 11-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,692,0,649
1779802144069,711,Get Token,200,OK,GetIndividual 1-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,711,0,623
1779802144158,599,Get Token,200,OK,UpdateJoint 12-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,583,0,532
1779802144068,712,Get Token,200,OK,GetJuristic 5-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,712,0,623
1779802144068,702,Get Token,200,OK,SearchJuristic 6-1,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,702,0,623
1779802144431,325,Get Token,200,OK,GetJuristic 5-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,318,0,274
1779802144226,530,Get Token,200,OK,SearchJoint 10-3,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,510,0,462
1779802144069,687,Get Token,200,OK,SearchJuristic 6-3,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,669,0,620
1779802144069,687,Get Token,200,OK,GetJoint 9-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,683,0,627
1779802144068,688,Get Token,200,OK,UpdateIndividual 4-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,675,0,620
1779802144069,687,Get Token,200,OK,CreateJoint 11-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,679,0,635
1779802144069,712,Get Token,200,OK,SearchIndividual 2-1,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,712,0,643
1779802144068,720,Get Token,200,OK,GetJuristic 5-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,720,0,647
1779802144069,688,Get Token,200,OK,CreateJuristic 7-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,688,0,645
1779802144068,691,Get Token,200,OK,UpdateJuristic 8-2,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,691,0,651
1779802144068,708,Get Token,200,OK,UpdateJuristic 8-3,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,708,0,624
1779802144069,703,Get Token,200,OK,SearchJoint 10-1,text,true,,2894,426,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,703,0,621
1779802144068,688,Get Token,200,OK,CreateIndividual 3-1,text,true,,3684,522,3,36,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,683,0,642
