timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778849869101,845,Get Token,200,OK,UpdateJuristic 8-2,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,845,0,720
1778849869694,283,Get Token,200,OK,SearchIndividual 2-10,text,true,,2894,426,18,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,283,0,126
1778849869101,876,Get Token,200,OK,SearchIndividual 2-5,text,true,,2894,426,18,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,876,0,720
1778849869833,141,Get Token,200,OK,SearchIndividual 2-15,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,141,0,49
1778849869100,850,Get Token,200,OK,GetJuristic 5-1,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,850,0,720
1778849869100,845,Get Token,200,OK,CreateJoint 11-2,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,839,0,721
1778849869242,704,Get Token,200,OK,SearchIndividual 2-9,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,695,0,579
1778849869100,867,Get Token,200,OK,CreateIndividual 3-2,text,true,,3684,522,3,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,867,0,720
1778849869101,845,Get Token,200,OK,SearchIndividual 2-6,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,837,0,720
1778849869101,864,Get Token,200,OK,GetIndividual 1-3,text,true,,3684,522,11,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,864,0,720
1778849869100,868,Get Token,200,OK,SearchJuristic 6-1,text,true,,2894,426,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,868,0,720
1778849869100,864,Get Token,200,OK,SearchIndividual 2-8,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,864,0,720
1778849869210,735,Get Token,200,OK,GetIndividual 1-7,text,true,,3684,522,11,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,729,0,610
1778849869930,50,Get Token,200,OK,SearchJoint 10-3,text,true,,2894,426,3,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,50,0,20
1778849869101,881,Get Token,200,OK,UpdateJuristic 8-1,text,true,,3684,522,2,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,881,0,719
1778849869100,882,Get Token,200,OK,GetIndividual 1-4,text,true,,3684,522,12,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,882,0,721
1778849869401,549,Get Token,200,OK,CreateJuristic 7-2,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,549,0,419
1778849869697,249,Get Token,200,OK,GetIndividual 1-11,text,true,,3684,522,11,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,239,0,123
1778849869101,844,Get Token,200,OK,UpdateJoint 12-1,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,844,0,719
1778849869697,249,Get Token,200,OK,SearchIndividual 2-12,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,240,0,123
1778849869100,873,Get Token,200,OK,SearchIndividual 2-4,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,873,0,720
1778849869726,219,Get Token,200,OK,SearchIndividual 2-13,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,210,0,95
1778849869100,845,Get Token,200,OK,UpdateIndividual 4-1,text,true,,3684,522,7,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,839,0,720
1778849869180,767,Get Token,200,OK,GetJuristic 5-2,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,757,0,640
1778849869696,288,Get Token,200,OK,SearchIndividual 2-11,text,true,,2894,426,18,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,288,0,124
1778849869747,199,Get Token,200,OK,UpdateIndividual 4-6,text,true,,3684,522,7,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,189,0,73
1778849869101,845,Get Token,200,OK,SearchIndividual 2-7,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,836,0,719
1778849869834,111,Get Token,200,OK,SearchIndividual 2-17,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,101,0,25
1778849869101,845,Get Token,200,OK,SearchIndividual 2-1,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,836,0,719
1778849869100,864,Get Token,200,OK,GetJoint 9-1,text,true,,3684,522,2,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,864,0,720
1778849869101,846,Get Token,200,OK,SearchJoint 10-1,text,true,,2894,426,3,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,836,0,720
1778849869499,450,Get Token,200,OK,SearchJoint 10-2,text,true,,2894,426,3,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,450,0,321
1778849869530,445,Get Token,200,OK,GetIndividual 1-9,text,true,,3684,522,11,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,445,0,290
1778849869833,142,Get Token,200,OK,SearchIndividual 2-16,text,true,,2894,426,18,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,142,0,43
1778849869101,862,Get Token,200,OK,UpdateIndividual 4-2,text,true,,3684,522,7,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,862,0,720
1778849869552,432,Get Token,200,OK,UpdateJoint 12-2,text,true,,3684,522,2,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,432,0,268
1778849869101,846,Get Token,200,OK,GetIndividual 1-5,text,true,,3684,522,11,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,836,0,720
1778849869100,863,Get Token,200,OK,GetIndividual 1-2,text,true,,3684,522,11,56,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,863,0,721
1778849869101,883,Get Token,200,OK,CreateJoint 11-1,text,true,,3684,522,2,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,883,0,719
1778849869133,852,Get Token,200,OK,UpdateIndividual 4-3,text,true,,3684,522,7,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,852,0,687
1778849869745,241,Get Token,200,OK,SearchIndividual 2-14,text,true,,2894,426,18,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,241,0,76
1778849869100,887,Get Token,200,OK,SearchIndividual 2-3,text,true,,2894,426,18,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,887,0,721
1778849869101,886,Get Token,200,OK,CreateIndividual 3-1,text,true,,3684,522,3,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,886,0,719
1778849869296,692,Get Token,200,OK,UpdateIndividual 4-4,text,true,,3684,522,7,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,692,0,524
1778849869101,888,Get Token,200,OK,SearchJuristic 6-2,text,true,,2894,426,2,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,888,0,720
1778849869100,890,Get Token,200,OK,CreateJuristic 7-1,text,true,,3684,522,2,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,890,0,720
1778849869363,636,Get Token,200,OK,GetIndividual 1-8,text,true,,3684,522,12,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,636,0,458
1778849869944,59,Get Token,200,OK,CreateIndividual 3-3,text,true,,3684,522,3,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,59,0,17
1778849869101,905,Get Token,200,OK,GetIndividual 1-1,text,true,,3684,522,12,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,905,0,719
1778849869692,315,Get Token,200,OK,GetIndividual 1-10,text,true,,3684,522,12,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,315,0,129
1778849869242,769,Get Token,200,OK,GetJoint 9-2,text,true,,3684,522,2,58,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,769,0,578
1778849869100,911,Get Token,200,OK,SearchIndividual 2-2,text,true,,2894,426,19,58,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,911,0,720
1778849869325,686,Get Token,200,OK,UpdateIndividual 4-5,text,true,,3684,522,7,58,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,686,0,496
1778849869155,853,Get Token,200,OK,GetIndividual 1-6,text,true,,3684,522,12,58,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,853,0,666
1778849869949,50,Get Token,429,Too Many Requests,SearchIndividual 2-18,text,false,,1158,426,18,57,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,50,0,33
1778849869899,130,Get Token,200,OK,UpdateIndividual 4-7,text,true,,3684,522,7,58,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,130,0,30
1778849871042,166,SearchIndividual,200,OK,SearchIndividual 2-18,text,true,,14388,2611,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,165,0,0
1778849871068,93,SearchIndividual,200,OK,SearchIndividual 2-8,text,true,,621,2614,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,92,0,0
1778849871150,114,SearchIndividual,200,OK,SearchIndividual 2-41,text,true,,620,2611,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,114,0,80
1778849870967,194,SearchIndividual,200,OK,SearchIndividual 2-9,text,true,,621,2612,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,175,0,0
1778849871077,192,SearchIndividual,200,OK,SearchIndividual 2-38,text,true,,621,2634,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,191,0,47
1778849870974,196,SearchIndividual,200,OK,SearchIndividual 2-1,text,true,,621,2644,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,185,0,0
1778849871057,184,SearchIndividual,200,OK,SearchIndividual 2-15,text,true,,621,2641,43,113,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,183,0,0
1778849871089,186,SearchIndividual,200,OK,SearchIndividual 2-24,text,true,,621,2641,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,186,0,85
1778849871072,204,SearchIndividual,200,OK,SearchIndividual 2-39,text,true,,621,2606,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,203,0,51
1778849871082,195,SearchIndividual,200,OK,SearchIndividual 2-19,text,true,,621,2613,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,194,0,81
1778849871096,181,SearchIndividual,200,OK,SearchIndividual 2-10,text,true,,621,2605,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,180,0,0
1778849871101,66,SearchIndividual,200,OK,SearchIndividual 2-33,text,true,,620,2603,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,65,0,24
1778849871072,94,SearchIndividual,200,OK,SearchIndividual 2-5,text,true,,621,2606,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,94,0,0
1778849871236,44,SearchIndividual,200,OK,SearchIndividual 2-43,text,true,,621,2634,43,114,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,43,0,29
1778849870974,187,SearchIndividual,200,OK,SearchIndividual 2-16,text,true,,621,2640,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,168,0,0
1778849871233,49,SearchIndividual,200,OK,SearchIndividual 2-42,text,true,,621,2600,30,101,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,49,0,27
1778849870974,187,SearchIndividual,200,OK,SearchIndividual 2-34,text,true,,621,2610,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,180,0,62
1778849871097,76,SearchIndividual,200,OK,SearchIndividual 2-11,text,true,,621,2601,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,75,0,0
1778849871054,155,SearchIndividual,200,OK,SearchIndividual 2-7,text,true,,621,2609,41,110,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,152,0,0
1778849870971,323,SearchIndividual,200,OK,SearchIndividual 2-25,text,true,,620,2631,24,95,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,323,0,89
1778849871129,166,SearchIndividual,200,OK,SearchIndividual 2-32,text,true,,621,2612,24,95,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,166,0,113
1778849871056,263,SearchIndividual,200,OK,SearchIndividual 2-36,text,true,,621,2604,23,95,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,263,0,49
1778849871090,230,SearchIndividual,200,OK,SearchIndividual 2-17,text,true,,619,2635,23,95,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,230,0,0
1778849871117,204,SearchIndividual,200,OK,SearchIndividual 2-31,text,true,,621,2604,23,95,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,203,0,87
1778849871092,236,SearchJuristic,200,OK,SearchJuristic 6-3,text,true,,621,2610,4,94,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,236,0,66
1778849871098,232,SearchIndividual,200,OK,SearchIndividual 2-26,text,true,,620,2601,22,94,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,231,0,118
1778849871091,266,SearchJuristic,200,OK,SearchJuristic 6-1,text,true,,621,2608,4,94,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,266,0,0
1778849871092,273,SearchIndividual,200,OK,SearchIndividual 2-30,text,true,,14025,2604,21,91,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,273,0,88
1778849871117,260,SearchIndividual,200,OK,SearchIndividual 2-13,text,true,,621,2603,20,91,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,260,0,0
1778849871364,47,SearchIndividual,200,OK,SearchIndividual 2-45,text,true,,620,2602,21,93,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,47,0,31
1778849871366,46,SearchIndividual,200,OK,SearchIndividual 2-46,text,true,,620,2611,21,93,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,46,0,29
1778849871083,338,SearchIndividual,200,OK,SearchIndividual 2-27,text,true,,621,2613,20,92,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,338,0,122
1778849871323,99,SearchIndividual,200,OK,SearchIndividual 2-44,text,true,,621,2613,20,92,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,98,0,54
1778849871095,327,SearchIndividual,200,OK,SearchIndividual 2-4,text,true,,621,2613,20,92,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,327,0,0
1778849870972,450,SearchIndividual,200,OK,SearchIndividual 2-28,text,true,,620,2612,20,92,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,450,0,64
1778849871129,294,SearchIndividual,200,OK,SearchIndividual 2-14,text,true,,621,2613,20,92,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,293,0,0
1778849871060,363,SearchIndividual,200,OK,SearchIndividual 2-6,text,true,,621,2613,19,91,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,363,0,0
1778849871090,335,SearchIndividual,200,OK,SearchIndividual 2-3,text,true,,620,2612,15,87,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,335,0,0
1778849871089,336,SearchIndividual,200,OK,SearchIndividual 2-40,text,true,,621,2613,14,86,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,336,0,110
1778849870968,458,SearchIndividual,200,OK,SearchIndividual 2-23,text,true,,621,2613,14,86,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,458,0,83
1778849871057,370,SearchIndividual,200,OK,SearchIndividual 2-37,text,true,,621,2613,12,84,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,368,0,67
1778849871093,335,SearchIndividual,200,OK,SearchIndividual 2-21,text,true,,621,2613,12,84,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,334,0,58
1778849871102,326,SearchIndividual,200,OK,SearchIndividual 2-35,text,true,,621,2613,12,84,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,325,0,78
1778849871093,335,SearchIndividual,200,OK,SearchIndividual 2-2,text,true,,621,2613,11,83,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,335,0,0
1778849871113,320,SearchIndividual,200,OK,SearchIndividual 2-29,text,true,,621,2613,7,80,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,319,0,124
1778849871071,362,SearchIndividual,200,OK,SearchIndividual 2-20,text,true,,621,2613,7,80,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,361,0,162
1778849871092,342,SearchIndividual,200,OK,SearchIndividual 2-12,text,true,,621,2613,7,80,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,340,0,0
1778849871110,325,SearchIndividual,200,OK,SearchIndividual 2-22,text,true,,621,2613,6,79,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,324,0,128
1778849871397,40,SearchIndividual,200,OK,SearchIndividual 2-48,text,true,,14112,2605,3,76,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,40,0,18
