timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779799803804,28,Get Token,429,Too Many Requests,GetJoint 9-1,text,false,,417,522,1,3,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,28,0,25
1779799803804,37,Get Token,429,Too Many Requests,CreateIndividual 3-1,text,false,,417,522,1,4,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,37,0,36
1779799803804,27,Get Token,429,Too Many Requests,SearchJuristic 6-1,text,false,,417,426,1,3,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,27,0,25
1779799803863,22,Get Token,429,Too Many Requests,SearchIndividual 2-1,text,false,,417,426,1,4,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,20
1779799803911,19,Get Token,429,Too Many Requests,SearchIndividual 2-2,text,false,,417,426,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,19,0,18
1779799803937,14,Get Token,429,Too Many Requests,SearchJoint 10-1,text,false,,417,426,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,14,0,13
1779799804194,21,Get Token,429,Too Many Requests,UpdateJoint 12-1,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,21,0,19
1779799804258,19,Get Token,429,Too Many Requests,UpdateJuristic 8-1,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,19,0,18
1779799804384,27,Get Token,429,Too Many Requests,UpdateIndividual 4-1,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,27,0,26
1779799804425,19,Get Token,429,Too Many Requests,GetIndividual 1-1,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,19,0,18
1779799804433,22,Get Token,429,Too Many Requests,GetJuristic 5-1,text,false,,417,522,1,3,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,21
1779799804448,27,Get Token,429,Too Many Requests,GetIndividual 1-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,27,0,25
1779799804483,23,Get Token,429,Too Many Requests,SearchIndividual 2-3,text,false,,417,426,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,23,0,15
1779799804527,24,Get Token,429,Too Many Requests,CreateJoint 11-1,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,24,0,23
1779799804535,23,Get Token,429,Too Many Requests,CreateJuristic 7-1,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,23,0,22
1779799804577,32,Get Token,429,Too Many Requests,SearchIndividual 2-4,text,false,,417,426,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,32,0,30
1779799804649,18,Get Token,429,Too Many Requests,SearchIndividual 2-5,text,false,,417,426,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,18,0,17
1779799804673,34,Get Token,429,Too Many Requests,SearchJoint 10-2,text,false,,417,426,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,34,0,33
1779799804684,23,Get Token,429,Too Many Requests,GetIndividual 1-3,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,23,0,22
1779799804834,19,Get Token,429,Too Many Requests,CreateJuristic 7-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,19,0,17
1779799804872,22,Get Token,429,Too Many Requests,UpdateJoint 12-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,20
1779799804899,15,Get Token,429,Too Many Requests,UpdateJuristic 8-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,15,0,14
1779799804964,20,Get Token,429,Too Many Requests,UpdateIndividual 4-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,20,0,19
1779799805101,25,Get Token,429,Too Many Requests,SearchIndividual 2-6,text,false,,417,426,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,25,0,23
1779799805135,21,Get Token,429,Too Many Requests,CreateJoint 11-2,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,21,0,19
1779799805134,22,Get Token,429,Too Many Requests,UpdateIndividual 4-3,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,21
1779799805213,16,Get Token,429,Too Many Requests,SearchIndividual 2-7,text,false,,417,426,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,16,0,14
1779799805223,21,Get Token,429,Too Many Requests,GetJoint 9-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,21,0,20
1779799805258,17,Get Token,429,Too Many Requests,GetIndividual 1-4,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,17,0,16
1779799805284,21,Get Token,429,Too Many Requests,CreateIndividual 3-2,text,false,,417,522,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,21,0,20
1779799805286,22,Get Token,429,Too Many Requests,SearchIndividual 2-8,text,false,,417,426,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,21
1779799805365,21,Get Token,429,Too Many Requests,SearchJuristic 6-2,text,false,,417,426,1,2,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,21,0,20
1779799805384,23,Get Token,429,Too Many Requests,GetJuristic 5-2,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,23,0,22
1779799805572,22,Get Token,429,Too Many Requests,GetIndividual 1-5,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,21
1779799805704,23,Get Token,429,Too Many Requests,SearchIndividual 2-9,text,false,,417,426,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,23,0,21
1779799805811,23,Get Token,429,Too Many Requests,CreateJuristic 7-3,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,23,0,22
1779799805839,22,Get Token,429,Too Many Requests,UpdateJuristic 8-3,text,false,,417,522,1,1,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,22,0,21
