timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779452142972,326,Get Token,200,OK,SearchJuristic 6-1,text,true,,2894,426,2,14,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,317,0,259
1779452142972,331,Get Token,200,OK,UpdateJuristic 8-1,text,true,,3684,522,1,14,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,331,0,255
1779452142972,326,Get Token,200,OK,CreateJoint 11-1,text,true,,3684,522,1,14,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,317,0,257
1779452143260,56,Get Token,200,OK,SearchJuristic 6-2,text,true,,2894,426,2,15,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,56,0,30
1779452142972,326,Get Token,200,OK,GetJuristic 5-1,text,true,,3684,522,2,14,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,318,0,258
1779452142972,326,Get Token,200,OK,GetIndividual 1-1,text,true,,3684,522,1,14,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,317,0,258
1779452142972,328,Get Token,200,OK,GetJoint 9-1,text,true,,3684,522,1,14,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,328,0,254
1779452142972,370,Get Token,200,OK,SearchIndividual 2-1,text,true,,2894,426,1,15,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,370,0,255
1779452142972,373,Get Token,200,OK,SearchJoint 10-1,text,true,,2894,426,1,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,373,0,254
1779452143225,124,Get Token,200,OK,GetJuristic 5-2,text,true,,3684,522,2,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,124,0,29
1779452142972,378,Get Token,200,OK,UpdateIndividual 4-1,text,true,,3684,522,1,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,378,0,254
1779452142972,380,Get Token,200,OK,CreateJuristic 7-1,text,true,,3684,522,1,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,380,0,260
1779452142972,381,Get Token,200,OK,CreateIndividual 3-1,text,true,,3684,522,1,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,380,0,261
1779452142972,381,Get Token,200,OK,UpdateJoint 12-1,text,true,,3684,522,2,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,381,0,261
1779452143317,54,Get Token,200,OK,UpdateJoint 12-2,text,true,,3684,522,2,17,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,54,0,15
1779452143770,123,SearchJuristic,200,OK,SearchJuristic 6-2,text,true,,1003,2600,2,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,123,0,0
1779452143773,72,SearchIndividual,200,OK,SearchIndividual 2-2,text,true,,1231,2602,3,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,70,0,14
1779452143766,83,SearchIndividual,200,OK,SearchIndividual 2-1,text,true,,1201,2602,3,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,83,0,0
1779452143769,103,SearchIndividual,200,OK,SearchIndividual 2-3,text,true,,1147,2602,3,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,103,0,17
1779452143769,76,SearchJuristic,200,OK,SearchJuristic 6-1,text,true,,981,2600,2,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,74,0,0
1779452143772,85,SearchJoint,200,OK,SearchJoint 10-2,text,true,,621,2627,2,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,85,0,39
1779452143768,77,SearchJoint,200,OK,SearchJoint 10-1,text,true,,621,2627,2,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,75,0,0
1779452144050,46,SearchJuristic,200,OK,SearchJuristic 6-3,text,true,,1008,2600,1,20,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,46,0,17
1779452143766,458,GetJuristic,200,OK,GetJuristic 5-1,text,true,,3521,3533,3,22,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,458,0,0
1779452143766,459,GetJuristic,200,OK,GetJuristic 5-2,text,true,,3512,3533,3,22,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,459,0,0
1779452144156,130,GetIndividual,200,OK,GetIndividual 1-3,text,true,,3900,3588,4,24,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,130,0,27
1779452143772,564,GetIndividual,200,OK,GetIndividual 1-1,text,true,,3877,3588,4,23,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,563,0,0
1779452144340,63,SearchIndividual,200,OK,SearchIndividual 2-4,text,true,,1179,2602,1,21,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,63,0,26
1779452144425,64,SearchIndividual,200,OK,SearchIndividual 2-5,text,true,,1149,2602,1,22,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,64,0,24
1779452144160,347,GetIndividual,200,OK,GetIndividual 1-4,text,true,,3817,3588,2,22,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,346,0,26
1779452144506,52,SearchIndividual,200,OK,SearchIndividual 2-6,text,true,,1169,2602,1,22,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,51,0,27
1779452144853,50,SearchIndividual,200,OK,SearchIndividual 2-7,text,true,,1181,2602,1,25,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,50,0,23
1779452144853,61,SearchJoint,200,OK,SearchJoint 10-3,text,true,,621,2627,1,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,61,0,24
1779452145104,38,SearchJoint,200,OK,SearchJoint 10-4,text,true,,621,2627,1,27,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,38,0,24
1779452143835,1376,GetJoint,200,OK,GetJoint 9-2,text,true,,1429,3530,3,26,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/getprofile,1376,0,47
