timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778158590079,326,Get Token,200,OK,GetIndividual 1-1,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,326,0,271
1778158590078,327,Get Token,200,OK,UpdateIndividual 4-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,327,0,278
1778158590078,333,Get Token,200,OK,CreateJuristic 7-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,333,0,278
1778158590079,326,Get Token,200,OK,CreateJuristic 7-1,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,326,0,276
1778158590078,327,Get Token,200,OK,SearchIndividual 2-1,text,true,,2894,426,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,318,0,279
1778158590078,327,Get Token,200,OK,CreateIndividual 3-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,324,0,273
1778158590078,333,Get Token,200,OK,GetJoint 9-1,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,333,0,280
1778158590078,329,Get Token,200,OK,UpdateJuristic 8-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,329,0,277
1778158590078,327,Get Token,200,OK,CreateIndividual 3-1,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,326,0,282
1778158590078,334,Get Token,200,OK,GetIndividual 1-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,334,0,284
1778158590169,236,Get Token,200,OK,CreateJoint 11-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,233,0,186
1778158590078,327,Get Token,200,OK,GetJuristic 5-1,text,true,,3684,522,1,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,326,0,279
1778158590079,331,Get Token,200,OK,UpdateJoint 12-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,331,0,280
1778158590078,330,Get Token,200,OK,UpdateIndividual 4-1,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,330,0,276
1778158590078,329,Get Token,200,OK,UpdateJoint 12-1,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,329,0,277
1778158590109,300,Get Token,200,OK,SearchIndividual 2-2,text,true,,2894,426,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,300,0,248
1778158590185,220,Get Token,200,OK,GetJoint 9-2,text,true,,3684,522,2,22,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,217,0,168
1778158590454,51,Get Token,200,OK,SearchJoint 10-2,text,true,,2894,426,2,24,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,51,0,23
1778158590662,118,SearchJoint,200,OK,SearchJoint 10-2,text,true,,622,2628,3,25,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,118,0,0
1778158590663,65,SearchIndividual,200,OK,SearchIndividual 2-2,text,true,,622,2606,2,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,65,0,0
1778158590666,60,SearchIndividual,200,OK,SearchIndividual 2-1,text,true,,622,2604,2,24,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,59,0,0
1778158590737,78,SearchJoint,200,OK,SearchJoint 10-3,text,true,,622,2628,3,25,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,78,0,61
1778158590660,290,GetJoint,200,OK,GetJoint 9-2,text,true,,1550,3531,2,20,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/getprofile,290,0,0
1778158590662,302,GetIndividual,200,OK,GetIndividual 1-1,text,true,,3773,3589,2,20,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,302,0,0
1778158590663,324,GetIndividual,200,OK,GetIndividual 1-2,text,true,,3834,3589,1,18,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,324,0,0
1778158590662,327,GetJuristic,200,OK,GetJuristic 5-1,text,true,,3484,3534,2,18,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,326,0,0
1778158590662,342,GetJoint,200,OK,GetJoint 9-1,text,true,,1579,3531,1,16,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/getprofile,342,0,0
1778158590661,377,GetJuristic,200,OK,GetJuristic 5-2,text,true,,3450,3534,1,15,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,377,0,27
1778158590957,250,CreateIndividual,201,Created,CreateIndividual 3-1,text,true,,1173,8343,2,16,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/createprofile,250,0,0
1778158590955,266,CreateIndividual,201,Created,CreateIndividual 3-2,text,true,,1173,8262,1,15,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/createprofile,266,0,0
1778158590961,309,UpdateJuristic,200,OK,UpdateJuristic 8-2,text,true,,801,5756,3,14,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/updateprofile,309,0,0
1778158591341,46,Get Token,200,OK,SearchJuristic 6-3,text,true,,2894,426,3,16,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,46,0,19
1778158590916,488,UpdateJoint,200,OK,UpdateJoint 12-2,text,true,,801,4578,2,16,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/updateprofile,488,0,0
1778158590916,489,UpdateJoint,200,OK,UpdateJoint 12-1,text,true,,801,4486,1,15,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/updateprofile,489,0,0
1778158591398,17,SearchJuristic,200,OK,SearchJuristic 6-3,text,true,,622,2608,3,14,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,17,0,0
1778158590965,505,UpdateIndividual,200,OK,UpdateIndividual 4-2,text,true,,801,5605,3,14,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/updateprofile,505,0,0
1778158590953,562,CreateJuristic,201,Created,CreateJuristic 7-1,text,true,,1173,7924,3,16,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/createprofile,562,0,0
1778158591181,337,GetJuristic,200,OK,GetJuristic 5-3,text,true,,3476,3534,1,16,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,337,0,23
1778158591160,377,UpdateJuristic,200,OK,UpdateJuristic 8-3,text,true,,801,4425,2,14,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/updateprofile,377,0,41
1778158590952,600,CreateJuristic,201,Created,CreateJuristic 7-2,text,true,,1173,8074,2,13,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/createprofile,600,0,0
1778158591516,42,SearchIndividual,200,OK,SearchIndividual 2-3,text,true,,622,2614,1,12,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,42,0,25
1778158590965,663,UpdateIndividual,200,OK,UpdateIndividual 4-1,text,true,,801,5616,2,12,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/updateprofile,663,0,0
1778158591329,318,CreateIndividual,201,Created,CreateIndividual 3-3,text,true,,1173,8497,1,11,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/createprofile,318,0,21
