timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778850484786,95,Get Token,200,OK,SearchIndividual 2-1,text,true,,2894,426,1,5,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,95,0,22
1778850484779,103,Get Token,200,OK,UpdateIndividual 4-2,text,true,,3684,522,2,5,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,103,0,18
1778850484776,101,Get Token,200,OK,GetJuristic 5-1,text,true,,3684,522,1,5,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,101,0,32
1778850484779,114,Get Token,200,OK,UpdateIndividual 4-1,text,true,,3684,522,2,5,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,114,0,23
1778850484844,61,Get Token,200,OK,SearchJoint 10-1,text,true,,2894,426,1,5,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,61,0,19
1778850484918,66,SearchJoint,200,OK,SearchJoint 10-1,text,true,,621,2627,1,7,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,66,0,0
1778850484968,73,SearchIndividual,200,OK,SearchIndividual 2-3,text,true,,621,2613,3,9,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,73,0,20
1778850484918,129,SearchIndividual,200,OK,SearchIndividual 2-1,text,true,,621,2638,2,8,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,129,0,0
1778850485018,45,Get Token,200,OK,UpdateJoint 12-1,text,true,,3684,522,1,7,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,45,0,11
1778850485022,58,Get Token,200,OK,CreateJoint 11-1,text,true,,3684,522,1,7,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,58,0,24
1778850485048,55,Get Token,200,OK,CreateIndividual 3-1,text,true,,3684,522,1,7,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,55,0,21
1778850484918,240,SearchIndividual,200,OK,SearchIndividual 2-2,text,true,,621,2613,1,8,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,239,0,14
1778850485195,32,SearchIndividual,200,OK,SearchIndividual 2-4,text,true,,621,2643,1,8,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,32,0,21
1778850485155,95,Get Token,200,OK,UpdateJuristic 8-1,text,true,,3684,522,1,7,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,95,0,21
1778850484918,369,GetJuristic,200,OK,GetJuristic 5-1,text,true,,3482,3533,1,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,369,0,0
1778850485283,49,Get Token,200,OK,SearchJuristic 6-1,text,true,,2894,426,1,7,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,49,0,24
1778850485347,39,SearchJuristic,200,OK,SearchJuristic 6-1,text,true,,621,2611,1,7,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,39,0,0
1778850485429,21,SearchIndividual,200,OK,SearchIndividual 2-5,text,true,,621,2603,1,9,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,21,0,11
1778850485412,47,Get Token,200,OK,GetIndividual 1-1,text,true,,3684,522,2,8,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,47,0,17
1778850484918,544,UpdateIndividual,200,OK,UpdateIndividual 4-1,text,true,,800,5508,2,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/updateprofile,544,0,0
1778850485432,53,Get Token,200,OK,GetIndividual 1-2,text,true,,3684,522,2,7,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,53,0,17
1778850484918,614,UpdateIndividual,200,OK,UpdateIndividual 4-2,text,true,,800,5574,1,9,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/updateprofile,614,0,0
1778850485510,48,Get Token,200,OK,GetJoint 9-1,text,true,,3684,522,1,9,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,48,0,14
1778850485572,32,SearchIndividual,200,OK,SearchIndividual 2-6,text,true,,621,2625,1,11,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,32,0,21
1778850485555,54,Get Token,200,OK,CreateJuristic 7-1,text,true,,3684,522,1,10,https://api-scuda.uat.oci.krungsri.tech/oauth2/v1/token,54,0,20
1778850485528,126,GetIndividual,200,OK,GetIndividual 1-3,text,true,,3905,3588,5,11,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,126,0,22
1778850485465,221,GetIndividual,200,OK,GetIndividual 1-1,text,true,,3866,3588,4,10,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,221,0,0
1778850485486,201,GetIndividual,200,OK,GetIndividual 1-2,text,true,,3853,3588,3,9,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,201,0,0
1778850485560,129,GetIndividual,200,OK,GetIndividual 1-4,text,true,,3780,3588,2,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,129,0,15
1778850485087,650,CreateJoint,200,OK,CreateJoint 11-1,text,true,,1804,5758,1,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/createprofile,650,0,0
1778850485726,31,SearchIndividual,200,OK,SearchIndividual 2-7,text,true,,621,2613,1,7,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,30,0,14
1778850485070,698,UpdateJoint,200,OK,UpdateJoint 12-1,text,true,,800,4521,1,7,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/updateprofile,698,0,0
1778850485258,536,UpdateJuristic,200,OK,UpdateJuristic 8-1,text,true,,800,5853,1,6,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/updateprofile,536,0,0
1778850485803,25,SearchIndividual,200,OK,SearchIndividual 2-8,text,true,,621,2613,1,6,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,25,0,15
1778850485882,35,SearchIndividual,200,OK,SearchIndividual 2-9,text,true,,14303,2617,1,9,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,34,0,22
1778850485761,183,UpdateIndividual,200,OK,UpdateIndividual 4-3,text,true,,800,5584,2,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/updateprofile,183,0,17
1778850485564,412,GetJoint,200,OK,GetJoint 9-1,text,true,,1429,3530,2,9,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/getprofile,412,0,0
1778850485882,131,GetIndividual,200,OK,GetIndividual 1-6,text,true,,3776,3588,3,10,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,131,0,19
1778850485110,945,CreateIndividual,201,Created,CreateIndividual 3-1,text,true,,1172,8462,1,10,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/createprofile,945,0,0
1778850485961,109,GetIndividual,200,OK,GetIndividual 1-7,text,true,,3905,3588,2,10,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/getprofile,109,0,14
1778850486076,30,SearchIndividual,200,OK,SearchIndividual 2-10,text,true,,621,2613,1,10,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,30,0,19
1778850485914,249,GetJoint,200,OK,GetJoint 9-2,text,true,,1429,3530,1,10,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/getprofile,249,0,22
1778850486141,23,SearchIndividual,200,OK,SearchIndividual 2-11,text,true,,621,2605,1,9,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,23,0,11
1778850485906,274,UpdateIndividual,200,OK,UpdateIndividual 4-4,text,true,,799,4227,2,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/individual/updateprofile,274,0,19
1778850486205,28,SearchIndividual,200,OK,SearchIndividual 2-12,text,true,,621,2604,2,9,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,28,0,17
1778850486227,22,SearchIndividual,200,OK,SearchIndividual 2-13,text,true,,621,2613,1,8,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,22,0,12
1778850485619,728,CreateJuristic,201,Created,CreateJuristic 7-1,text,true,,1163,8185,1,8,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/createprofile,728,0,0
1778850485979,393,CreateJoint,200,OK,CreateJoint 11-2,text,true,,1813,6148,1,10,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/createprofile,393,0,19
1778850486352,29,SearchIndividual,200,OK,SearchIndividual 2-14,text,true,,621,2610,2,10,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,29,0,16
1778850485991,397,GetJuristic,200,OK,GetJuristic 5-2,text,true,,3494,3533,1,9,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/juristic/getprofile,397,0,21
1778850486376,28,SearchIndividual,200,OK,SearchIndividual 2-15,text,true,,621,2604,1,9,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,27,0,15
1778850486417,29,SearchIndividual,200,OK,SearchIndividual 2-16,text,true,,621,2613,1,10,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,29,0,18
1778850486458,35,SearchJoint,200,OK,SearchJoint 10-2,text,true,,621,2627,1,10,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/joint/searchprofile,35,0,18
1778850486494,31,SearchIndividual,200,OK,SearchIndividual 2-17,text,true,,620,2611,1,10,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/individual/searchprofile,31,0,21
1778850485989,578,UpdateJoint,200,OK,UpdateJoint 12-2,text,true,,800,4594,1,12,https://api-scuda.uat.oci.krungsri.tech/ic/api/v1/customer/joint/updateprofile,578,0,23
1778850486566,35,SearchJuristic,200,OK,SearchJuristic 6-2,text,true,,620,2601,1,12,https://api-scuda.uat.oci.krungsri.tech/ords/api/v1/customer/juristic/searchprofile,34,0,22
